T(r, t):
r = 0.6000, t = 6.5000, T = 93.7199
r = 0.7000, t = 6.5000, T = 172.9067
r = 0.8000, t = 6.5000, T = 242.1320
r = 0.9000, t = 6.5000, T = 303.9640
r = 1.0000, t = 6.5000, T = 360.0000
r = 0.5000, t = 7.0000, T = 0.0000
r = 0.6000, t = 7.0000, T = 98.6382
r = 0.7000, t = 7.0000, T = 182.6699
r = 0.8000, t = 7.0000, T = 255.8119
r = 0.9000, t = 7.0000, T = 320.8857
r = 1.0000, t = 7.0000, T = 380.0000
r = 0.5000, t = 7.5000, T = 0.0000
r = 0.6000, t = 7.5000, T = 104.1970
r = 0.7000, t = 7.5000, T = 192.3081
r = 0.8000, t = 7.5000, T = 269.2561
r = 0.9000, t = 7.5000, T = 337.8801
r = 1.0000, t = 7.5000, T = 400.0000
r = 0.5000, t = 8.0000, T = 0.0000
r = 0.6000, t = 8.0000, T = 109.1790
r = 0.7000, t = 8.0000, T = 202.0766
r = 0.8000, t = 8.0000, T = 282.9146
r = 0.9000, t = 8.0000, T = 354.7990
r = 1.0000, t = 8.0000, T = 420.0000
r = 0.5000, t = 8.5000, T = 0.0000
r = 0.6000, t = 8.5000, T = 114.6820
r = 0.7000, t = 8.5000, T = 211.7131
r = 0.8000, t = 8.5000, T = 296.3795
r = 0.9000, t = 8.5000, T = 371.7956
r = 1.0000, t = 8.5000, T = 440.0000
r = 0.5000, t = 9.0000, T = 0.0000
r = 0.6000, t = 9.0000, T = 119.7132
r = 0.7000, t = 9.0000, T = 221.4809
r = 0.8000, t = 9.0000, T = 310.0185
r = 0.9000, t = 9.0000, T = 388.7132
r = 1.0000, t = 9.0000, T = 460.0000
r = 0.5000, t = 9.5000, T = 0.0000
r = 0.6000, t = 9.5000, T = 125.1725
r = 0.7000, t = 9.5000, T = 231.1197
r = 0.8000, t = 9.5000, T = 323.5013
r = 0.9000, t = 9.5000, T = 405.7102
r = 1.0000, t = 9.5000, T = 480.0000
r = 0.5000, t = 10.0000, T = 0.0000
r = 0.6000, t = 10.0000, T = 130.2428
r = 0.7000, t = 10.0000, T = 240.8842
r = 0.8000, t = 10.0000, T = 337.1241
r = 0.9000, t = 10.0000, T = 422.6281
r = 1.0000, t = 10.0000, T = 500.0000
