T(r, t=10):
r = 0.9000t = 6.5000, T = 303.9466
r = 1.0000t = 6.5000, T = 360.0000
r = 0.5000t = 7.0000, T = 0.0000
r = 0.6000t = 7.0000, T = 98.7977
r = 0.7000t = 7.0000, T = 182.6383
r = 0.8000t = 7.0000, T = 255.7530
r = 0.9000t = 7.0000, T = 320.9039
r = 1.0000t = 7.0000, T = 380.0000
r = 0.5000t = 7.5000, T = 0.0000
r = 0.6000t = 7.5000, T = 104.0533
r = 0.7000t = 7.5000, T = 192.3409
r = 0.8000t = 7.5000, T = 269.3096
r = 0.9000t = 7.5000, T = 337.8612
r = 1.0000t = 7.5000, T = 400.0000
r = 0.5000t = 8.0000, T = 0.0000
r = 0.6000t = 8.0000, T = 109.3088
r = 0.7000t = 8.0000, T = 202.0435
r = 0.8000t = 8.0000, T = 282.8663
r = 0.9000t = 8.0000, T = 354.8185
r = 1.0000t = 8.0000, T = 420.0000
r = 0.5000t = 8.5000, T = 0.0000
r = 0.6000t = 8.5000, T = 114.5644
r = 0.7000t = 8.5000, T = 211.7460
r = 0.8000t = 8.5000, T = 296.4229
r = 0.9000t = 8.5000, T = 371.7758
r = 1.0000t = 8.5000, T = 440.0000
r = 0.5000t = 9.0000, T = 0.0000
r = 0.6000t = 9.0000, T = 119.8199
r = 0.7000t = 9.0000, T = 221.4486
r = 0.8000t = 9.0000, T = 309.9796
r = 0.9000t = 9.0000, T = 388.7331
r = 1.0000t = 9.0000, T = 460.0000
r = 0.5000t = 9.5000, T = 0.0000
r = 0.6000t = 9.5000, T = 125.0755
r = 0.7000t = 9.5000, T = 231.1512
r = 0.8000t = 9.5000, T = 323.5362
r = 0.9000t = 9.5000, T = 405.6904
r = 1.0000t = 9.5000, T = 480.0000
r = 0.5000t = 10.0000, T = 0.0000
r = 0.6000t = 10.0000, T = 130.3311
r = 0.7000t = 10.0000, T = 240.8538
r = 0.8000t = 10.0000, T = 337.0929
r = 0.9000t = 10.0000, T = 422.6477
r = 1.0000t = 10.0000, T = 500.0000
